step,dev_machine,prod_machine,query_id,confidence,decision,predicted_p50,actual_p50,blind_error_pct,interval_component,hw_region_component,query_support_component,gated_error_pct,retrained_after_this_step
18,m5a,z1d,q21,0.8082587527881575,predict,1.187883172197177,0.9426352709273659,26.017263392715602,,0.8082587527881575,,26.017263392715602,
19,z1d,c5a,q21,1.0,predict,1.0174751390778531,0.7410404802590498,37.30358410679111,,1.0,,37.30358410679111,
20,z1d,m5a,q4,1.0,predict,0.8074277456440522,0.7927565670036999,1.8506536875252155,,1.0,,1.8506536875252155,
21,z1d,c7i,q2,1.0,predict,0.7065994915608429,1.0328928400075252,31.590242066573442,,1.0,,31.590242066573442,
22,m5a,c5a,q18,1.0,predict,1.3327073237775602,0.7203418749870529,85.0103916007262,,1.0,,85.0103916007262,
23,r5n,c5a,q16,1.0,predict,1.245128506496019,0.5471424890078582,127.5693318487894,,1.0,,127.5693318487894,
24,c5a,r5n,q8,1.0,predict,0.8573094932609467,2.3249141486430673,63.12511179127564,,1.0,,63.12511179127564,
25,m5a,c5a,q6,1.0,predict,1.3697997280256247,0.6645555163183674,106.122693197147,,1.0,,106.122693197147,
26,z1d,c5a,q20,1.0,predict,1.1316087281138207,0.9335608394923398,21.21424552567749,,1.0,,21.21424552567749,
27,c5a,z1d,q21,0.8082587527881575,predict,0.9746078515862259,1.349453945687858,27.77761295963025,,0.8082587527881575,,27.77761295963025,
28,c5a,c7i,q12,1.0,predict,1.130161863478711,1.447540072152867,21.92534871950954,,1.0,,21.92534871950954,
29,z1d,r5n,q14,1.0,predict,1.0650207579637854,1.163807649430903,8.488249025981577,,1.0,,8.488249025981577,
30,c5a,c7i,q21,1.0,predict,0.9254860837503338,1.310206469395414,29.363340407150247,,1.0,,29.363340407150247,
31,z1d,r5n,q16,1.0,predict,1.0520571427622576,1.2741171364819976,17.428538347178694,,1.0,,17.428538347178694,
32,c5a,r5n,q3,1.0,predict,0.8057866056248961,2.188991988709732,63.189147800405856,,1.0,,63.189147800405856,
33,m5a,z1d,q14,0.8082587527881575,predict,1.2759770095889016,1.2052743504931642,5.8661050130875045,,0.8082587527881575,,5.8661050130875045,
34,c5a,c7i,q11,1.0,predict,0.8263097553567013,1.2028058387666951,31.3014845185684,,1.0,,31.3014845185684,
35,m5a,c5a,q7,1.0,predict,1.0339860404380852,0.6886996801357503,50.13598383467741,,1.0,,50.13598383467741,
36,z1d,c7i,q8,1.0,predict,0.8573094932609467,1.0155411834466401,15.581021505072956,,1.0,,15.581021505072956,
37,m5a,c5a,q8,1.0,predict,1.296814195056168,0.6794947200086109,90.84978247362012,,1.0,,90.84978247362012,
38,z1d,c5a,q2,1.0,predict,1.1308415265215264,1.1384624404391501,0.6694040705184857,,1.0,,0.6694040705184857,
39,c7i,z1d,q22,0.8082587527881575,predict,1.1715300029207414,1.1601323010703692,0.9824484534958915,,0.8082587527881575,,0.9824484534958915,
40,c5a,r5n,q18,1.0,predict,0.8289728392280501,2.0296406796704054,59.156670068188255,,1.0,,59.156670068188255,
41,c5a,m5a,q6,1.0,predict,0.6850213411597048,1.5047651782954006,54.476528893651185,,1.0,,54.476528893651185,
42,c7i,c5a,q14,1.0,predict,0.976146111587284,0.6183582606449796,57.86093171442608,,1.0,,57.86093171442608,
43,z1d,c5a,q4,1.0,predict,0.9624644523851787,0.5598925040116529,71.9016499576403,,1.0,,71.9016499576403,
44,c5a,r5n,q13,1.0,predict,0.7805818099699531,1.9500056673397506,59.97027993078382,,1.0,,59.97027993078382,
45,c5a,m5a,q12,1.0,predict,0.7705225364358067,1.5451666079095039,50.13336862888419,,1.0,,50.13336862888419,
46,r5n,c5a,q7,1.0,predict,1.147314314566813,0.6946508194016069,65.16417781744562,,1.0,,65.16417781744562,
47,c7i,z1d,q2,0.8082587527881575,predict,1.18553802252538,0.9681546441862394,22.453373502314523,,0.8082587527881575,,22.453373502314523,
48,r5n,z1d,q9,0.8082587527881575,predict,0.9534832382810932,0.8329129345579055,14.475739146395188,,0.8082587527881575,,14.475739146395188,
49,c5a,r5n,q19,1.0,predict,0.7497656197454953,1.6869790892565195,55.55572534832487,,1.0,,55.55572534832487,
50,m5a,z1d,q6,0.8082587527881575,predict,1.2779568101660266,1.164865986040021,9.708483678063216,,0.8082587527881575,,9.708483678063216,
51,z1d,r5n,q10,1.0,predict,1.04195980869347,1.1535997352858223,9.677527063985645,,1.0,,9.677527063985645,
52,r5n,c5a,q1,1.0,predict,1.242577518260999,0.4284241019339841,190.034457130628,,1.0,,190.034457130628,
53,z1d,c7i,q9,1.0,predict,0.8183300084982948,0.9860743359594041,17.01132676756077,,1.0,,17.01132676756077,
54,z1d,m5a,q9,1.0,predict,0.8325933521660034,0.8306924156800675,0.22883758778267796,,1.0,,0.22883758778267796,
55,m5a,c5a,q9,1.0,predict,1.3697970286214365,0.6713372887125197,104.04006326661998,,1.0,,104.04006326661998,
56,m5a,z1d,q20,0.8082587527881575,predict,1.1464647607655791,0.7115860913047417,61.11399235803747,,0.8082587527881575,,61.11399235803747,
57,r5n,c5a,q5,1.0,predict,1.0922436768287376,0.42297126695238974,158.23117600838881,,1.0,,158.23117600838881,
58,c5a,z1d,q14,0.8082587527881575,predict,0.9996173310294801,1.7243146905754676,42.028138106515186,,0.8082587527881575,,42.028138106515186,
59,z1d,m5a,q7,1.0,predict,0.944212648912338,1.178363133486331,19.870825717470485,,1.0,,19.870825717470485,
60,z1d,r5n,q8,1.0,predict,1.0301840519116605,1.1333880331508472,9.105794151741401,,1.0,,9.105794151741401,
61,z1d,r5n,q13,1.0,predict,1.0606723265782985,1.395066712775095,23.969777440364304,,1.0,,23.969777440364304,
62,c5a,z1d,q10,0.8082587527881575,predict,1.1042541696920982,1.6986746816378384,34.993193127044684,,0.8082587527881575,,34.993193127044684,
63,c7i,c5a,q9,1.0,predict,0.9451217482611404,0.5655504597978596,67.11537085460917,,1.0,,67.11537085460917,
64,z1d,c7i,q3,1.0,predict,0.8057866056248961,0.9360875509102831,13.919739148189494,,1.0,,13.919739148189494,
65,r5n,c5a,q10,1.0,predict,1.1291188227652642,0.5103106576509373,121.26107025920749,,1.0,,121.26107025920749,
66,m5a,z1d,q10,0.8082587527881575,predict,1.376975992597539,1.1544456259025175,19.27595043907352,,0.8082587527881575,,19.27595043907352,
67,z1d,c5a,q1,1.0,predict,0.7946367835518344,0.5323652463423619,49.26533785054908,,1.0,,49.26533785054908,
68,c7i,c5a,q3,1.0,predict,0.9116058097335602,0.5700245140024474,59.923965959408946,,1.0,,59.923965959408946,
69,r5n,c5a,q22,1.0,predict,1.2433875989185763,0.5277481938172489,135.60243568529242,,1.0,,135.60243568529242,
70,c5a,r5n,q21,1.0,predict,0.7835851239646441,1.6243799137792383,51.76096938175158,,1.0,,51.76096938175158,
71,z1d,r5n,q20,1.0,predict,1.0217877150283445,1.1926411094830744,14.325633511726151,,1.0,,14.325633511726151,
72,c5a,r5n,q9,1.0,predict,0.8094169344304222,2.1528777927532823,62.40302458620881,,1.0,,62.40302458620881,
73,m5a,c5a,q16,1.0,predict,1.2348465901207544,0.7065531166194757,74.77052483030778,,1.0,,74.77052483030778,
74,z1d,r5n,q3,1.0,predict,1.0386354251781618,1.1680304766658238,11.078054389216273,,1.0,,11.078054389216273,
75,r5n,z1d,q12,0.8082587527881575,predict,1.1506119472083667,0.7964525505228134,44.467105598829875,,0.8082587527881575,,44.467105598829875,
76,m5a,c5a,q10,1.0,predict,1.3254401843824442,0.6796154898767416,95.02795391300344,,1.0,,95.02795391300344,
77,z1d,m5a,q18,1.0,predict,0.7595695134918471,0.7857041910776341,3.326274427776942,,1.0,,3.326274427776942,
78,z1d,c5a,q18,1.0,predict,0.9277456548986684,0.5659756301860487,63.919717637612415,,1.0,,63.919717637612415,
79,c5a,m5a,q19,1.0,predict,0.7155906171763355,1.417220208764448,49.50745037708732,,1.0,,49.50745037708732,
80,z1d,c5a,q10,1.0,predict,0.9185811508756163,0.5886942395796552,56.03705440221566,,1.0,,56.03705440221566,
81,r5n,z1d,q1,0.8082587527881575,predict,1.152728421083286,0.8047559544457309,43.23950195276509,,0.8082587527881575,,43.23950195276509,
82,m5a,c5a,q21,1.0,predict,1.2087491581752725,0.6985308938771347,73.0416175963551,,1.0,,73.0416175963551,
83,c5a,r5n,q14,1.0,predict,0.750383955709245,2.00677062691781,62.607387927450574,,1.0,,62.607387927450574,
84,c5a,r5n,q5,1.0,predict,0.8573094932609467,2.364226788276286,63.73827174651061,,1.0,,63.73827174651061,
85,c5a,c7i,q17,1.0,predict,0.8408975483085875,0.8289866598752221,1.4368009776126214,,1.0,,1.4368009776126214,
86,c5a,m5a,q16,1.0,predict,0.8113302465735052,1.4153217592253073,42.67520856758423,,1.0,,42.67520856758423,
87,z1d,c7i,q20,1.0,predict,0.8334694652832699,1.0049492016634705,17.06352282248236,,1.0,,17.06352282248236,
88,r5n,c5a,q20,1.0,predict,1.2907649026002215,0.7827676172398355,64.89758571664808,,1.0,,64.89758571664808,
89,c5a,r5n,q7,1.0,predict,0.8039489572897145,1.439572188025964,44.153619806163235,,1.0,,44.153619806163235,
90,c7i,c5a,q1,1.0,predict,0.9209750789836132,0.6260414705921681,47.11087399888534,,1.0,,47.11087399888534,
91,z1d,m5a,q2,1.0,predict,0.9897898656795564,1.8406565209598902,46.22625924996655,,1.0,,46.22625924996655,
92,z1d,m5a,q10,1.0,predict,0.7719457193613019,0.8662166303572975,10.883064084917269,,1.0,,10.883064084917269,
93,r5n,z1d,q13,0.8082587527881575,predict,1.0369052166500459,0.7168115982143819,44.65519520513273,,0.8082587527881575,,44.65519520513273,
94,m5a,c5a,q1,1.0,predict,1.340547150797598,0.6915400568532685,93.84953011941523,,1.0,,93.84953011941523,
95,c7i,c5a,q21,1.0,predict,0.9917472570687059,0.7632384844363066,29.939367221657537,,1.0,,29.939367221657537,
96,m5a,z1d,q19,0.8082587527881575,predict,1.1847294788737743,0.95905937399161,23.530358078136935,,0.8082587527881575,,23.530358078136935,
97,z1d,r5n,q21,1.0,predict,1.0342706853790185,1.2037312714301207,14.077941653021167,,1.0,,14.077941653021167,
98,c5a,m5a,q5,1.0,predict,0.7505596040546106,1.4912155410944865,49.66793308070455,,1.0,,49.66793308070455,
99,c7i,c5a,q5,1.0,predict,0.8518720447245665,0.46399070401899617,83.59679134642536,,1.0,,83.59679134642536,
100,z1d,m5a,q19,1.0,predict,0.8343055134131628,1.0426883122345125,19.985147658822324,,1.0,,19.985147658822324,
101,r5n,z1d,q7,0.8082587527881575,predict,0.9865613614222433,0.8559679908821368,15.256805386556636,,0.8082587527881575,,15.256805386556636,
102,r5n,z1d,q19,0.8082587527881575,predict,1.0518731315120875,0.8056995696519941,30.554014316579963,,0.8082587527881575,,30.554014316579963,
103,r5n,c5a,q21,1.0,predict,1.1488361205020057,0.6156195305773186,86.61463183675228,,1.0,,86.61463183675228,
104,r5n,z1d,q3,0.8082587527881575,predict,0.983390414849394,0.8561420442166273,14.862997500513995,,0.8082587527881575,,14.862997500513995,
105,c5a,c7i,q9,1.0,predict,0.9653952177389042,1.7681888197163211,45.40202907211079,,1.0,,45.40202907211079,
106,z1d,m5a,q13,1.0,predict,0.8065648915727187,1.1016926827468378,26.788576868667256,,1.0,,26.788576868667256,
107,m5a,z1d,q12,0.8082587527881575,predict,1.3140529061858017,1.1201430635290808,17.311167561560918,,0.8082587527881575,,17.311167561560918,
108,z1d,c5a,q12,1.0,predict,0.7925203096769151,0.577764950060462,37.170022098775526,,1.0,,37.170022098775526,
109,m5a,z1d,q11,0.8082587527881575,predict,0.8354154656156004,0.5451268016510906,53.25158533487583,,0.8082587527881575,,53.25158533487583,
110,c5a,m5a,q21,1.0,predict,0.7020370165994002,1.4315759099065573,50.9605455259984,,1.0,,50.9605455259984,
111,c5a,c7i,q18,1.0,predict,1.047575748685996,1.5190255640937227,31.036331879575833,,1.0,,31.036331879575833,
112,c7i,c5a,q13,1.0,predict,0.967686966643264,0.5559327085803295,74.06548521212582,,1.0,,74.06548521212582,
113,z1d,m5a,q1,1.0,predict,0.93336702612069,0.7698256103410647,21.24395623927992,,1.0,,21.24395623927992,
114,m5a,c5a,q19,1.0,predict,1.2771348132858988,0.7056066473055825,80.99812667053861,,1.0,,80.99812667053861,
115,r5n,z1d,q21,0.8082587527881575,predict,0.9759910288452153,0.8307502045800695,17.48309220562426,,0.8082587527881575,,17.48309220562426,
116,c7i,z1d,q17,0.8082587527881575,predict,1.1889100404693653,1.0528198430136775,12.926256886090993,,0.8082587527881575,,12.926256886090993,
117,r5n,z1d,q5,0.8082587527881575,predict,0.9752808057629997,0.9222623775698369,5.748735878488992,,0.8082587527881575,,5.748735878488992,
118,c5a,m5a,q13,1.0,predict,0.7464068074007933,1.5399313562213894,51.52986499136617,,1.0,,51.52986499136617,
119,m5a,z1d,q7,0.8082587527881575,predict,1.008287654339058,0.8486348321517647,18.81289998225549,,0.8082587527881575,,18.81289998225549,
120,c5a,m5a,q18,1.0,predict,0.7195833965673262,1.3882297208085723,48.16539469071402,,1.0,,48.16539469071402,
121,c5a,z1d,q3,0.8082587527881575,predict,1.0948280357957298,1.87408807598777,41.580758672791724,,0.8082587527881575,,41.580758672791724,
122,c5a,z1d,q5,0.8082587527881575,predict,1.1509068681318722,2.1804374188699867,47.21669798125504,,0.8082587527881575,,47.21669798125504,
123,m5a,z1d,q4,0.8082587527881575,predict,1.259183780729939,1.2614212756125083,0.17737887617938985,,0.8082587527881575,,0.17737887617938985,
124,c7i,c5a,q20,1.0,predict,1.0842584034089509,0.9289632132122071,16.717044118437983,,1.0,,16.717044118437983,
125,c7i,z1d,q11,0.8082587527881575,predict,1.0365093985979863,0.7055992681585721,46.8977428651538,,0.8082587527881575,,46.8977428651538,
126,z1d,m5a,q5,1.0,predict,0.7628095160338803,0.6839065997442431,11.537089467939643,,1.0,,11.537089467939643,
127,c5a,z1d,q12,0.8082587527881575,predict,1.19692535606625,1.7308076578465894,30.845848142628228,,0.8082587527881575,,30.845848142628228,
128,c5a,c7i,q19,1.0,predict,1.1112208713300429,1.2154984165456686,8.578994739620692,,1.0,,8.578994739620692,
129,m5a,z1d,q8,0.8082587527881575,predict,1.3866311363069896,1.3938446871408088,0.5175290260363429,,0.8082587527881575,,0.5175290260363429,
130,r5n,c5a,q12,1.0,predict,1.2404610443860797,0.4601623680783409,169.57029310464952,,1.0,,169.57029310464952,
131,c5a,r5n,q6,1.0,predict,0.7171653238919997,2.10789778053018,65.97722477265393,,1.0,,65.97722477265393,
132,z1d,c7i,q5,1.0,predict,0.8573094932609467,0.9884326757937573,13.265767688984232,,1.0,,13.265767688984232,
133,m5a,z1d,q16,0.8082587527881575,predict,1.1521628025244255,1.0135262885784788,13.678630293881305,,0.8082587527881575,,13.678630293881305,
134,c5a,c7i,q13,1.0,predict,1.065107978616673,1.7987788532063052,40.78716365171133,,1.0,,40.78716365171133,
135,z1d,r5n,q17,1.0,predict,1.0460132885655478,1.2369025049103342,15.43284257142194,,1.0,,15.43284257142194,
136,c5a,r5n,q16,1.0,predict,0.7531246403580573,1.8276774699280165,58.79335097413444,,1.0,,58.79335097413444,
137,c5a,z1d,q13,0.8082587527881575,predict,1.0131201485598629,1.397786678932909,27.51968781579076,,0.8082587527881575,,27.51968781579076,
138,z1d,c5a,q19,1.0,predict,1.0603876365720808,0.7357278041805108,44.127710077940016,,1.0,,44.127710077940016,
139,c7i,c5a,q2,1.0,predict,1.2240244495782238,1.1022076989427632,11.052068566778035,,1.0,,11.052068566778035,
140,z1d,c5a,q17,1.0,predict,1.2448276717360827,1.145772505200432,8.645273480211749,,1.0,,8.645273480211749,
141,r5n,c5a,q2,1.0,predict,1.1832810190141922,0.9088097746044648,30.2011765365512,,1.0,,30.2011765365512,
142,c7i,z1d,q8,0.8082587527881575,predict,1.1577333605901885,0.9846966487425995,17.572590712941576,,0.8082587527881575,,17.572590712941576,
143,c5a,z1d,q19,0.8082587527881575,predict,0.87729445766063,1.3591983262258907,35.45500750456127,,0.8082587527881575,,35.45500750456127,
144,m5a,c5a,q17,1.0,predict,1.3810255243593743,0.6215240011811524,122.19987027610443,,1.0,,122.19987027610443,
145,z1d,r5n,q5,1.0,predict,1.0301840519116605,1.0842901372980236,4.990000694942381,,1.0,,4.990000694942381,
146,z1d,c7i,q17,1.0,predict,0.7922488677068309,0.9498301220629718,16.590467147313063,,1.0,,16.590467147313063,
147,c5a,m5a,q20,1.0,predict,0.724080022622546,1.505323783557652,51.898719030980175,,1.0,,51.898719030980175,
148,z1d,c5a,q5,1.0,predict,0.8817060049390902,0.45862357311692564,92.25047656115576,,1.0,,92.25047656115576,
149,m5a,z1d,q18,0.8082587527881575,predict,1.3755582600210514,1.2727436245801973,8.078188996999815,,0.8082587527881575,,8.078188996999815,
150,z1d,c5a,q7,1.0,predict,1.0539763152418866,0.8115383131157966,29.873882502882775,,1.0,,29.873882502882775,
151,r5n,c5a,q13,1.0,predict,1.2632917855151407,0.5128190224001895,146.34261412582768,,1.0,,146.34261412582768,
152,c7i,z1d,q5,0.8082587527881575,predict,1.1577333605901885,1.011702693050848,14.4341483463859,,0.8082587527881575,,14.4341483463859,
153,z1d,r5n,q22,1.0,predict,1.0519164867419164,1.2479169881191174,15.706213092957125,,1.0,,15.706213092957125,
154,m5a,c5a,q13,1.0,predict,1.3046505082638495,0.649379594720217,100.90722265856749,,1.0,,100.90722265856749,
155,c7i,z1d,q12,0.8082587527881575,predict,1.2389251990443566,1.1956889423257417,3.6160120904451754,,0.8082587527881575,,3.6160120904451754,
156,c5a,z1d,q7,0.8082587527881575,predict,0.9820776469982502,1.2322277135143862,20.300636300630934,,0.8082587527881575,,20.300636300630934,
157,m5a,z1d,q3,0.8082587527881575,predict,1.3797056467280366,1.252218857357848,10.180871228786845,,0.8082587527881575,,10.180871228786845,
158,r5n,z1d,q18,0.8082587527881575,predict,0.9746803566753544,0.8705287316663259,11.964180069010034,,0.8082587527881575,,11.964180069010034,
159,c5a,r5n,q22,1.0,predict,0.7554933711664819,1.8948430552967173,60.12897379259847,,1.0,,60.12897379259847,
160,r5n,c5a,q14,1.0,predict,1.3206775558950674,0.49831305411116933,165.0296926799826,,1.0,,165.0296926799826,
161,c5a,r5n,q2,1.0,predict,0.7065994915608429,1.1003402779588538,35.7835475338961,,1.0,,35.7835475338961,
162,z1d,c7i,q11,1.0,predict,0.9598190590607547,1.417235030033033,32.27523743620822,,1.0,,32.27523743620822,
163,c7i,c5a,q11,1.0,predict,1.121176054989501,0.8313893795405554,34.8557105226781,,1.0,,34.8557105226781,
164,c5a,m5a,q17,1.0,predict,0.6898629851496868,1.6089483239578632,57.123359720299284,,1.0,,57.123359720299284,
165,c5a,c7i,q20,1.0,predict,1.1190820000104296,1.076468891100821,3.9586010577631807,,1.0,,3.9586010577631807,
166,c7i,z1d,q10,0.8082587527881575,predict,1.1946085065267151,1.0659494007989347,12.069907411303923,,0.8082587527881575,,12.069907411303923,
167,z1d,c7i,q22,1.0,predict,0.8043965980017598,0.8619706554824592,6.679352378704155,,1.0,,6.679352378704155,
168,c7i,z1d,q4,0.8082587527881575,predict,1.1437601999606113,1.1798718658499399,3.0606430184954827,,0.8082587527881575,,3.0606430184954827,
169,m5a,c5a,q3,1.0,predict,1.3302935672117822,0.6681750305133577,99.09357675184599,,1.0,,99.09357675184599,
170,z1d,r5n,q4,1.0,predict,1.0455126118760407,1.1033896114812942,5.245381957833911,,1.0,,5.245381957833911,
171,z1d,c5a,q13,1.0,predict,1.0150372913481343,0.7154167478283702,41.88056044665642,,1.0,,41.88056044665642,
172,m5a,c5a,q11,1.0,predict,1.0473764423940966,0.6423088201018023,63.06430950583759,,1.0,,63.06430950583759,
173,z1d,m5a,q16,1.0,predict,1.0463045632967947,0.9866542301557367,6.045718076092629,,1.0,,6.045718076092629,
174,z1d,c7i,q13,1.0,predict,0.8557962500615173,1.2868765172233,33.49818427737938,,1.0,,33.49818427737938,
175,c7i,c5a,q17,1.0,predict,1.15438993287696,1.2062920290545067,4.3026145350746985,,1.0,,4.3026145350746985,
176,r5n,c5a,q9,1.0,predict,1.1065545729249482,0.4644945492800664,138.22767665197134,,1.0,,138.22767665197134,
177,c5a,m5a,q7,1.0,predict,0.7415330699797855,1.452011709665509,48.93064118948408,,1.0,,48.93064118948408,
178,r5n,z1d,q4,0.8082587527881575,predict,1.0467064078147499,0.906298182975917,15.4924976653698,,0.8082587527881575,,15.4924976653698,
179,m5a,z1d,q1,0.8082587527881575,predict,1.3172305948302792,1.2989954953004987,1.403784662514327,,0.8082587527881575,,1.403784662514327,
180,c5a,c7i,q22,1.0,predict,1.0323771368786068,1.3088203189478447,21.121553361233683,,1.0,,21.121553361233683,
181,z1d,r5n,q6,1.0,predict,1.0620397857371227,1.2025547270451822,11.684702421262873,,1.0,,11.684702421262873,
182,z1d,m5a,q11,1.0,predict,1.0778445076727998,1.8344355789720495,41.243807085513225,,1.0,,41.243807085513225,
183,c5a,c7i,q14,1.0,predict,1.1926832133006977,1.6171854791055083,26.24944827229154,,1.0,,26.24944827229154,
184,c7i,c5a,q10,1.0,predict,0.8887471906610925,0.627518271933718,41.62889439416467,,1.0,,41.62889439416467,
185,r5n,c5a,q18,1.0,predict,1.1547005712310907,0.4926980474999105,134.36272522092762,,1.0,,134.36272522092762,
186,z1d,m5a,q17,1.0,predict,0.9123063299353346,1.843488751879237,50.51196656310829,,1.0,,50.51196656310829,
187,z1d,c5a,q16,1.0,predict,0.9583725740686031,0.6971236213423252,37.47526905245843,,1.0,,37.47526905245843,
188,z1d,c5a,q6,1.0,predict,1.0614883031876905,0.5704995461130543,86.06295314691421,,1.0,,86.06295314691421,
189,z1d,m5a,q14,1.0,predict,0.7922151150359875,0.8296866183129412,4.516344177413284,,1.0,,4.516344177413284,
190,z1d,c7i,q7,1.0,predict,0.8039489572897145,0.8870443028184565,9.367665771001334,,1.0,,9.367665771001334,
191,z1d,c7i,q1,1.0,predict,0.799446417452491,0.8503673819544278,5.988113559212899,,1.0,,5.988113559212899,
192,r5n,z1d,q22,0.8082587527881575,predict,1.051993086578644,0.8013353528484436,31.28000441253554,,0.8082587527881575,,31.28000441253554,
193,c5a,z1d,q4,0.8082587527881575,predict,0.9950702708064286,1.7860571321011778,44.28676144106351,,0.8082587527881575,,44.28676144106351,
194,c5a,r5n,q11,1.0,predict,0.9598190590607547,1.1992824450713457,19.967221816237398,,1.0,,19.967221816237398,
195,c7i,z1d,q3,0.8082587527881575,predict,1.2102790163054473,1.0682761447127103,13.292712029147264,,0.8082587527881575,,13.292712029147264,
196,z1d,m5a,q8,1.0,predict,0.7628095160338803,0.7174400485403423,6.323799122427555,,1.0,,6.323799122427555,
197,c7i,z1d,q19,0.8082587527881575,predict,1.171410047854185,1.1182230332217162,4.756386968638212,,0.8082587527881575,,4.756386968638212,
198,r5n,c5a,q11,1.0,predict,0.9701214051843641,0.8338319335113004,16.344957082555375,,1.0,,16.344957082555375,
199,c5a,z1d,q9,0.8082587527881575,predict,1.0216996247497225,1.7931597601066824,43.02238721390126,,0.8082587527881575,,43.02238721390126,
200,c7i,z1d,q7,0.8082587527881575,predict,1.2810509965509498,1.1273394088915771,13.634898811042628,,0.8082587527881575,,13.634898811042628,
201,c5a,r5n,q12,1.0,predict,0.8655647844931776,2.1731459792682433,60.169965904240065,,1.0,,60.169965904240065,
202,c7i,c5a,q8,1.0,predict,0.8518720447245665,0.48003639128781705,77.45988849703826,,1.0,,77.45988849703826,
203,c7i,c5a,q16,1.0,predict,1.0625965586779544,0.7735941351117948,37.3584041616855,,1.0,,37.3584041616855,
204,r5n,z1d,q2,0.8082587527881575,predict,1.0099314604001437,0.7982782236135089,26.513717965217605,,0.8082587527881575,,26.513717965217605,
205,c5a,c7i,q7,1.0,predict,0.9373111626926893,1.0930405730479495,14.247358624667328,,1.0,,14.247358624667328,
206,z1d,c7i,q18,1.0,predict,0.8119078114172456,0.8597314509066628,5.562625333641453,,1.0,,5.562625333641453,
207,r5n,z1d,q6,0.8082587527881575,predict,1.0618898441003355,0.8315629862909584,27.698065162413,,0.8082587527881575,,27.698065162413,
208,c7i,c5a,q12,1.0,predict,0.9188586051086939,0.6908271620506788,33.008465153732146,,1.0,,33.008465153732146,
209,r5n,z1d,q20,0.8082587527881575,predict,1.0212451900122044,0.8384752060353088,21.797899647040847,,0.8082587527881575,,21.797899647040847,
210,m5a,c5a,q5,1.0,predict,1.2993040163343326,0.6705938695260941,93.75423417642415,,1.0,,93.75423417642415,
211,c7i,z1d,q16,0.8082587527881575,predict,1.239013741285356,1.1096943374580022,11.653605813974698,,0.8082587527881575,,11.653605813974698,
212,c5a,z1d,q2,0.8082587527881575,predict,0.5410593537260964,0.8783776824593883,38.4024247734559,,0.8082587527881575,,38.4024247734559,
213,z1d,c5a,q9,1.0,predict,0.976131155995554,0.55767479409671,75.03591095176463,,1.0,,75.03591095176463,
214,c5a,m5a,q1,1.0,predict,0.7772495656297311,1.4460478320667705,46.250079119523754,,1.0,,46.250079119523754,
215,m5a,z1d,q13,0.8082587527881575,predict,1.2569645613099536,0.9076941470707706,38.47886596672649,,0.8082587527881575,,38.47886596672649,
216,c7i,c5a,q19,1.0,predict,0.9699498977129579,0.8227077768162836,17.897256479873352,,1.0,,17.897256479873352,
